inspection_id,page,source_parser_row_id,cusip,issuer_or_description,page_priority_status,parser_actual_cost,parser_fair_value,parser_book_adjusted_carrying_value,parser_interest_income,parser_interest_received_during_year,raw_line_excerpt,raw_numeric_tokens,blank_marker_count_before_first_number,diagnosis,current_status,next_action
CFAASDHP-042,5970,CFAASDFR-5947,149754-AZ-6,Cayman ABSC NIMs 2005-HE6 ABSN 2005-HE6 A1,high-priority-column-correction,,,,"1,547,728","13,812","149754-AZ-6 ..... Cayman ABSC NIMs 2005-HE6 ABSN 2005-HE6 A1 ......... ................ ...6. FM .. .......................... ............ 1,547,728 ........................ .......................... .................. .................. .................. .................. ......5.050 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....08/27/2035 ... ..........13,812 ............","1,547,728; 13,812",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-043,5970,CFAASDFR-5948,149754-BE-2,Cayman ABSC NIMs 2006-HE1 ABSN 2006-HE1 A1,high-priority-column-correction,,,,"14,940,384","95,834","149754-BE-2 ..... Cayman ABSC NIMs 2006-HE1 ABSN 2006-HE1 A1 ......... ................ .. 1.A FM .. .......................... ...........14,940,384 ........................ .......................... .................. .................. .................. .................. ......6.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....01/27/2036 ... .......... 95,834 ............","14,940,384; 95,834",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-044,5970,CFAASDFR-5949,14975A-AA-7,Cayman ABSC NIMs 2006-HE3 ABSN 2006-HE3 A1,high-priority-column-correction,,,,"3,103,391","19,655","14975A-AA-7 ..... Cayman ABSC NIMs 2006-HE3 ABSN 2006-HE3 A1 ......... ................ .. 1.A FM .. .......................... ............ 3,103,391 ........................ .......................... .................. .................. .................. .................. ......5.500 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....03/27/2036 ... ..........19,655 ............","3,103,391; 19,655",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-045,5970,CFAASDFR-5986,23303M-AA-5,DBARN Net Interest Margin 2007 DBARN 2007-AR3 2N1,high-priority-column-correction,7,7,7,"7,024,965","68,095","23303M-AA-5 ..... DBARN Net Interest Margin 2007 DBARN 2007-AR3 2N1 ................ ...6. FM .. .........................7 ............ 7,024,965 .......................7 ........................7 .................. .................. .................. .................. ......8.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/25/2037 ... ..........68,095 ............","7,024,965; 68,095",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-046,5971,CFAASDFR-5991,23332S-AC-3,DSLA NIM CI-3 Corp DSLAN 2006-AR2 N5,high-priority-column-correction,,,,"18,160,000","117,748","23332S-AC-3 ...... DSLA NIM CI-3 Corp DSLAN 2006-AR2 N5 ................. ................ ....6. * ... .......................... ...........18,160,000 ........................ .......................... .................. .................. .................. .................. ......0.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....10/19/2036 ... .........117,748 ............","18,160,000; 117,748",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-047,5971,CFAASDFR-5992,23334M-AA-8,DSLA NIM CI-4 Corp DSLAN 2007-AR1 N3,high-priority-column-correction,,,,"1,225,000","12,226","23334M-AA-8 ..... DSLA NIM CI-4 Corp DSLAN 2007-AR1 N3 ................. ................ ...6. FM .. .......................... ............ 1,225,000 ........................ .......................... .................. .................. .................. .................. ......8.350 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....03/19/2037 ... ..........12,226 ............","1,225,000; 12,226",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-048,5971,CFAASDFR-5993,29442Q-AB-3,EquiFirst CI-4 EMLTN 2005-1 N2,high-priority-column-correction,,13,,"1,284,972","12,573","29442Q-AB-3 ..... EquiFirst CI-4 EMLTN 2005-1 N2 ........................ ................ ...6. FM .. .......................... ............ 1,284,972 ..................... 13 .......................... .................. .................. .................. .................. ......6.414 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....04/25/2035 ... ..........12,573 ............","1,284,972; 12,573",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-049,5971,CFAASDFR-5994,361596-AA-7,GE-WMC Mortgage Securities CI- GEWMN 2005-2A N1,high-priority-column-correction,,,,"1,579,123","14,127","361596-AA-7 ..... GE-WMC Mortgage Securities CI- GEWMN 2005-2A N1 ... ................ ...6. FM .. .......................... ............ 1,579,123 ........................ .......................... .................. .................. .................. .................. ......5.500 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....01/25/2036 ... ..........14,127 ............","1,579,123; 14,127",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-050,5971,CFAASDFR-6033,74951P-DZ-8,RESI Finance LP 2005-B RESIF 2005-B B3,high-priority-column-correction,"4,649","2,469","2,469","10,405","20,880","74951P-DZ-8 ..... RESI Finance LP 2005-B RESIF 2005-B B3 .............. ................ ...6. FM .. ....................4,649 ...............206,608 ..................2,469 ...................2,469 ..........(2,181) .................. .................. .................. ......4.467 ......0.000 MON ..... ....................... ............... 10,405 ....01/31/2023 ... ....06/10/2037 ... ..........20,880 ............","4,649; 206,608; 2,469; 2,469; (2,181); 10,405; 20,880",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-051,5972,CFAASDFR-6036,80382Q-AW-2,Sail Net Interest Margin Notes SAILN 2004-4A B,high-priority-column-correction,,3,,"276,383","3,018","80382Q-AW-2 ..... Sail Net Interest Margin Notes SAILN 2004-4A B .... ................ ...6. FM .. .......................... ...............276,383 .......................3 .......................... .................. .................. .................. .................. ......7.500 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....04/27/2034 ... ........... 3,018 ............","276,383; 3,018",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-052,5972,CFAASDFR-6038,80382S-CG-1,Finance America NIM Trust FINM 2004-1 A,high-priority-column-correction,206,,,"110,125","1,066","80382S-CG-1 ..... Finance America NIM Trust FINM 2004-1 A ............. ................ ...6. FM .. ...................... 206 ...............110,125 ........................ .......................... .................. .................. .................. .................. ......5.250 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/27/2034 ... ........... 1,066 ............ 80382S-CX-4 ..... Fremont NIM Trust FRENT 2004-3 A ...................... ................ .. 1.A FM .. ........................29 ....................638 ........................ .......................... ..............(29) .................. .................. ......","110,125; 1,066",0,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-053,5972,CFAASDFR-6039,80382S-CX-4,Fremont NIM Trust FRENT 2004-3 A,high-priority-column-correction,29,,,,,80382S-CX-4 ..... Fremont NIM Trust FRENT 2004-3 A ...................... ................ .. 1.A FM .. ........................29 ....................638 ........................ .......................... ..............(29) .................. .................. .................. ......4.500 ......0.000 MON ..... ....................... .....................29 ....01/27/2025 ... ....11/27/2034 ... .................6 ............,,1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-054,5972,CFAASDFR-6040,80382S-CY-2,Fremont NIM Trust FRENT 2004-3 B,high-priority-column-correction,,39,,"3,924,353","41,512","80382S-CY-2 ..... Fremont NIM Trust FRENT 2004-3 B ...................... ................ ...6. FM .. .......................... .............3,924,353 ......................39 .......................... .................. .................. .................. .................. ......7.500 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....11/27/2034 ... ..........41,512 ............ 82001R-AD-9 ..... Sharps SP I LLC Net Interest M SHARP 2004-HS1N","3,924,353; 41,512",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-055,5972,CFAASDFR-6037,80382S-AP-3,Sail Net Interest Margin Notes SAILN 2003-3 A,high-priority-column-correction,"5,800","5,562","5,800","5,562","5,800","80382S-AP-3 ..... Sail Net Interest Margin Notes SAILN 2003-3 A ..... ................ .. 1.A FM .. ....................5,800 ..................5,420 ..................5,562 ...................5,800 .................. .................. .................. .................. ......7.750 ......0.000 MON ..... ....................... ...................963 ....01/31/2023 ... ....04/27/2033 ... ............... 73 ............","5,800; 5,420; 5,562; 5,800",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
