template_id,source_rank,company,ticker,sector,industry,primary_lane,lane_rank,matched_signal_categories,capital_flow_role,likely_funding_wrapper,source_availability,current_proof_level,denominator_need,next_document,safe_claim,do_not_claim,priority_status,packet_path,analysis_path
ACET-001-050,50,Sunrun Inc.,RUN,Technology,Solar,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Sunrun Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Sunrun Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/solar/sunrun-inc/company-packet.md,
ACET-001-051,51,Coterra Energy Inc.,CTRA,Energy,Independent Oil Gas,debt_refinancing_and_facilities,7,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Coterra Energy Inc. is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Coterra Energy Inc.'s debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/independent-oil-gas/coterra-energy-inc/company-packet.md,
ACET-001-052,52,Aecom,`ACM`,Industrial Goods,Engineering Construction,capital_intensity_and_capex,7,capital_intensity_and_capex; power_grid_and_project_finance; government_and_public_funding,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-and-source-pointers,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Aecom is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Aecom's capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/engineering-construction/aecom/company-packet.md,
ACET-001-053,53,Applied Industrial Technologies Inc.,`AIT`,Industrial Goods,Industrial Equipment Wholesale,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-analysis,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Applied Industrial Technologies Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Applied Industrial Technologies Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/industrial-goods/industrial-equipment-wholesale/applied-industrial-technologies-inc/company-packet.md,analysis/company-first-principles/industrial-goods/industrial-equipment-wholesale/applied-industrial-technologies-inc/company-analysis.md
ACET-001-054,54,Mistras Group Inc.,MG,Services,Technical Services,power_grid_and_project_finance,,power_grid_and_project_finance; asset_backed_and_securitization; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Mistras Group Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Mistras Group Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/services/technical-services/mistras-group-inc/company-packet.md,
ACET-001-055,55,American Electric Power Company Inc.,AEP,Utilities,Electric Utilities,power_grid_and_project_finance,,power_grid_and_project_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","American Electric Power Company Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat American Electric Power Company Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/utilities/electric-utilities/american-electric-power-company-inc/company-packet.md,analysis/company-first-principles/utilities/electric-utilities/american-electric-power-company-inc/company-analysis.md
ACET-001-056,56,Ivanhoe Mines Ltd.,IVN,Basic Materials,Copper,power_grid_and_project_finance,,power_grid_and_project_finance; debt_refinancing_and_facilities; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Ivanhoe Mines Ltd. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Ivanhoe Mines Ltd.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/basic-materials/copper/ivanhoe-mines-ltd/company-packet.md,
ACET-001-057,57,Crh PLC,`CRH`,Basic Materials,General Building Materials,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Crh PLC is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Crh PLC's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/basic-materials/general-building-materials/crh-plc/company-packet.md,
ACET-001-058,58,Knife River Corporation,`KNF`,Basic Materials,General Building Materials,capital_intensity_and_capex,8,capital_intensity_and_capex; asset_backed_and_securitization; acquisition_finance,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-and-source-pointers,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Knife River Corporation is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Knife River Corporation's capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/basic-materials/general-building-materials/knife-river-corporation/company-packet.md,
ACET-001-059,59,Nucor Corporation,NUE,Basic Materials,Steel Iron,capital_intensity_and_capex,9,capital_intensity_and_capex; power_grid_and_project_finance; government_and_public_funding,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-and-source-pointers,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Nucor Corporation is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Nucor Corporation's capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/basic-materials/steel-iron/nucor-corporation/company-packet.md,
ACET-001-060,60,Bunge Global S.A.,BG,Consumer Goods,Farm Products,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Bunge Global S.A. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Bunge Global S.A.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/consumer-goods/farm-products/bunge-global-sa/company-packet.md,
ACET-001-061,61,Tourmaline Oil Corp.,TOU,Energy,Independent Oil Gas,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Tourmaline Oil Corp. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Tourmaline Oil Corp.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/energy/independent-oil-gas/tourmaline-oil-corp/company-packet.md,
ACET-001-062,62,Ceco Environmental Corp.,CECO,Industrials,Pollution Treatment Controls,power_grid_and_project_finance,,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Ceco Environmental Corp. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Ceco Environmental Corp.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/industrials/pollution-treatment-controls/ceco-environmental-corp/company-packet.md,
ACET-001-063,63,Hewlett Packard Enterprise Company,`HPE`,Technology,Diversified Computer Systems,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Hewlett Packard Enterprise Company is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Hewlett Packard Enterprise Company's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/diversified-computer-systems/hewlett-packard-enterprise-company/company-packet.md,
ACET-001-064,64,Amphenol Corporation,APH,Technology,Electronic Components,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Amphenol Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Amphenol Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/electronic-components/amphenol-corporation/company-packet.md,
ACET-001-065,65,Zscaler Inc.,,Technology,Internet Software Services,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-analysis,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Zscaler Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Zscaler Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/internet-software-services/zscaler-inc/company-packet.md,analysis/company-first-principles/technology/internet-software-services/zscaler-inc/company-analysis.md
ACET-001-066,66,Keyera Corp.,KEY,Energy,Oil Gas Pipelines,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Keyera Corp. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Keyera Corp.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/energy/oil-gas-pipelines/keyera-corp/company-packet.md,
ACET-001-067,67,Unitedhealth Group Inc.,UNH,Healthcare,Managed Health Care,insurance_and_retirement_capital,1,insurance_and_retirement_capital; acquisition_finance,insurance or retirement-liability capital source candidate,"insurance general accounts, retirement liabilities, reinsurance, affiliated managers",packet-analysis-and-source-pointers,lane-queue-candidate,"statutory invested assets, reserves, surplus, NAIC quality, private-credit allocation","Bridge insurance liabilities to investment assets using annual reports, statutory filings, reinsurance notes, and asset schedules.","Unitedhealth Group Inc. is a insurance or retirement-liability capital source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Unitedhealth Group Inc.'s insurance_and_retirement_capital signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md,analysis/company-first-principles/healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md
ACET-001-068,68,Avnet Inc.,`AVT`,Technology,Electronics Wholesale,power_grid_and_project_finance,,power_grid_and_project_finance; asset_backed_and_securitization; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Avnet Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Avnet Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/electronics-wholesale/avnet-inc/company-packet.md,
ACET-001-069,69,First Solar Inc.,FSLR,Technology,Solar,power_grid_and_project_finance,,power_grid_and_project_finance; capital_intensity_and_capex; government_and_public_funding,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","First Solar Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat First Solar Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/solar/first-solar-inc/company-packet.md,
ACET-001-070,70,Atmos Energy Corporation,ATO,Utilities,Gas Utilities,power_grid_and_project_finance,,power_grid_and_project_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Atmos Energy Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Atmos Energy Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/utilities/gas-utilities/atmos-energy-corporation/company-packet.md,
ACET-001-071,71,Ecolab Inc.,ECL,Basic Materials,Specialty Chemicals,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Ecolab Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Ecolab Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/basic-materials/specialty-chemicals/ecolab-inc/company-packet.md,
ACET-001-072,72,Cnx Resources,CNX,Energy,Independent Oil Gas,debt_refinancing_and_facilities,8,debt_refinancing_and_facilities; capital_intensity_and_capex; government_and_public_funding,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Cnx Resources is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Cnx Resources's debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/independent-oil-gas/cnx-resources/company-packet.md,
ACET-001-073,73,Sunoco Lp,SUN,Energy,Oil Gas Refining Marketing,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Sunoco Lp is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Sunoco Lp's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/energy/oil-gas-refining-marketing/sunoco-lp/company-packet.md,
ACET-001-074,74,Core Main Inc.,CNM,Industrial Goods,Building Materials Wholesale,acquisition_finance,1,acquisition_finance; capital_intensity_and_capex; government_and_public_funding,acquisition-finance or consolidation candidate,"cash, stock, bridge loans, term loans, private credit, bank facilities, assumed debt",packet-analysis-and-source-pointers,lane-queue-candidate,"transaction value, funding mix, assumed debt, repayment, lender group, use-of-proceeds","Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.","Core Main Inc. is a acquisition-finance or consolidation candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Core Main Inc.'s acquisition_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md,analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md
ACET-001-075,75,Kbr Inc.,KBR,Industrial Goods,Engineering Construction,capital_intensity_and_capex,10,capital_intensity_and_capex; acquisition_finance; government_and_public_funding,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-and-source-pointers,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Kbr Inc. is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Kbr Inc.'s capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/engineering-construction/kbr-inc/company-packet.md,
ACET-001-076,76,Iridium Communications Inc.,IRDM,Technology,Communication Equipment,insurance_and_retirement_capital,,insurance_and_retirement_capital; acquisition_finance; capital_intensity_and_capex,insurance or retirement-liability capital source candidate,"insurance general accounts, retirement liabilities, reinsurance, affiliated managers",packet-and-source-pointers,high-signal-radar,"statutory invested assets, reserves, surplus, NAIC quality, private-credit allocation","Bridge insurance liabilities to investment assets using annual reports, statutory filings, reinsurance notes, and asset schedules.","Iridium Communications Inc. is a insurance or retirement-liability capital source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Iridium Communications Inc.'s insurance_and_retirement_capital signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/communication-equipment/iridium-communications-inc/company-packet.md,
ACET-001-077,77,Sba Communications Corporation,`SBAC`,Technology,Wireless Communications,power_grid_and_project_finance,,power_grid_and_project_finance; debt_refinancing_and_facilities; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-only,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Sba Communications Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Sba Communications Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/technology/wireless-communications/sba-communications-corporation/company-packet.md,
ACET-001-078,78,Martin Marietta Materials Inc.,`MLM`,Basic Materials,General Building Materials,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-only,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Martin Marietta Materials Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Martin Marietta Materials Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/basic-materials/general-building-materials/martin-marietta-materials-inc/company-packet.md,
ACET-001-079,79,Ovintiv Inc.,OVV,Energy,Independent Oil Gas,debt_refinancing_and_facilities,9,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Ovintiv Inc. is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Ovintiv Inc.'s debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/independent-oil-gas/ovintiv-inc/company-packet.md,
ACET-001-080,80,Cenovus Energy Inc.,CVE,Energy,Oil Gas Refining Marketing,debt_refinancing_and_facilities,10,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Cenovus Energy Inc. is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Cenovus Energy Inc.'s debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/oil-gas-refining-marketing/cenovus-energy-inc/company-packet.md,
ACET-001-081,81,Upstart Holdings Inc.,`UPST`,Financial,Credit Services,debt_refinancing_and_facilities,,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,high-signal-radar,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Upstart Holdings Inc. is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Upstart Holdings Inc.'s debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/financial/credit-services/upstart-holdings-inc/company-packet.md,
