matrix_id,theme,subtheme,company,ticker_or_marker,why_it_belongs,what_it_does_plain,how_it_gets_paid,proof_metric_to_check,what_would_disprove,best_source_anchor,claim_status
ARCTM-059,Broad technology beyond internet software,network equipment,Cisco,CSCO,Cisco shows the physical and software equipment layer that connects organizations.,"Sells networking hardware, security, observability, collaboration, and services.","Product sales, subscriptions, maintenance, support, and enterprise refresh cycles.","orders, backlog, subscription revenue, deferred revenue, operating cash flow",Hardware refresh slows or software transition fails to protect margins.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-060,Broad technology beyond internet software,enterprise workflow,ServiceNow,NOW,"ServiceNow shows software as workflow control across IT, HR, customer service, and operations.",Provides enterprise workflow and automation software.,"Subscriptions, expansions, renewals, and workflow modules.","current remaining performance obligation, renewal rate, enterprise customer count, free cash flow",Large customers slow expansions or AI features do not improve willingness to pay.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-061,Healthcare tools and medical infrastructure,medical devices and diagnostics,Abbott Laboratories,ABT,"Abbott shows care infrastructure through devices, diagnostics, nutrition, and established products.","Makes medical devices, diagnostics, nutrition products, and medicines.","Product sales, device placements, consumables, diagnostics tests, and global distribution.","organic sales, device revenue, diagnostics demand, gross margin, free cash flow",Procedure volume slows or reimbursement and competition reduce device economics.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-062,Healthcare tools and medical infrastructure,life-science tools,Thermo Fisher Scientific,TMO,"Thermo Fisher shows the tools behind labs, biotech, pharma manufacturing, and testing.","Sells instruments, reagents, services, diagnostics, and bioproduction inputs.","Product sales, service contracts, consumables, and pharma/biotech outsourcing.","organic growth, book-to-bill, margin, pharma/biotech demand, free cash flow",Biotech funding stays weak or instrument demand resets lower.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-063,Healthcare tools and medical infrastructure,hospital care sites,HCA Healthcare,HCA,"HCA shows healthcare as staffed beds, procedures, payer mix, and hospital cash collection.","Operates hospitals, surgery centers, emergency rooms, and related services.","Commercial insurance, Medicare, Medicaid, self-pay collections, and service revenue.","admissions, same-facility revenue, payer mix, labor cost, bad debt, cash flow","Payer mix worsens, labor inflation rises, or volumes do not cover fixed costs.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-064,Healthcare tools and medical infrastructure,drug distribution,McKesson,MCK,"McKesson shows medicine access as wholesale distribution, inventory, and payment timing.",Distributes pharmaceuticals and medical products and provides oncology and pharmacy services.,"Distribution margin, service fees, manufacturer/customer contracts, and working-capital float.","revenue, operating profit, inventory, receivables, payables, cash conversion",Margin compresses or working-capital timing reverses.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-065,Healthcare tools and medical infrastructure,orthopedic and surgical devices,Stryker,SYK,"Stryker shows medical infrastructure through implants, instruments, surgical equipment, and hospital capex.","Makes orthopedic implants, medical/surgical equipment, neurotechnology, and spine products.","Device sales, instrument systems, service, hospital purchasing, and procedure volume.","organic sales, procedure volume, segment margins, inventory, cash flow",Hospital budgets slow or procedure growth cannot support premium device pricing.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-066,Energy affordability and supply route,integrated oil and gas,Exxon Mobil,XOM,"Exxon shows affordability through upstream production, refining, chemicals, and global scale.","Produces oil and gas, refines fuels, and makes chemicals.","Commodity sales, refining margins, chemicals margins, trading/logistics, and project returns.","production, realized prices, refining margin, capex, free cash flow, reserves","Prices fall, megaproject returns disappoint, or policy/demand reduces utilization.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-067,Energy affordability and supply route,midstream transport and cash generation,Energy Transfer,ET,"Energy Transfer shows energy moving through pipes, processing, exports, DCF, debt, and expansion capex.","Transports, stores, processes, fractionates, and exports hydrocarbons.","Tariffs, long-term contracts, processing fees, fractionation, exports, and commodity-linked margins.","adjusted EBITDA, DCF, growth capex, volumes, revolver availability, debt","Volumes or contracts fail to support new assets, or debt absorbs cash generation.",capital-flow-energy-project-source-use-return-pass-1.md,source-visible-with-boundary
ARCTM-068,Energy affordability and supply route,NGL and gas infrastructure,ONEOK,OKE,"ONEOK shows energy affordability through gathering, processing, NGL transport, and demand from counterparties.",Runs natural gas liquids and gas infrastructure.,"Transportation fees, processing margins, storage, fractionation, and long-term contracts.","EBITDA, capex, volumes, demand counterparties, leverage, cash flow",Counterparty demand fails or capex does not create enough EBITDA.,capital-flow-519-company-cash-realization-source-table-pass-1.md,source-visible-with-boundary
ARCTM-069,Energy affordability and supply route,pipeline tariff and route economics,Plains All American Pipeline,PAA,Plains shows a concrete route/rate proof case through a tariffed pipeline movement path.,"Moves crude oil and NGLs through pipelines, storage, and terminals.","Tariffs, committed transportation, storage, marketing, and logistics margins.","tariff rate, route, throughput, committed volumes, segment cash contribution",Tariff route has no volume or negotiated economics undermine revenue.,capital-flow-plains-commercial-durability-extraction-pass-1.md,source-visible-with-boundary
ARCTM-070,Energy affordability and supply route,LNG contracted output,Cheniere Energy,LNG,"Cheniere shows gas becoming exportable energy through liquefaction trains, contracts, debt, and customers.","Buys natural gas, liquefies it, and sells LNG under long-term and shorter-term contracts.","LNG sales, liquefaction fees, tolling contracts, cargo margins, and terminal cash flow.","contracted volumes, train capacity, EBITDA, debt service, distributable cash flow","Customers do not take/pay, feedgas costs impair margin, or debt service absorbs cash.",capital-flow-cheniere-entity-dscr-waterfall-bridge-pass-1.md,source-visible-with-boundary
ARCTM-071,Ordinary finance,deposits and credit creation,JPMorgan Chase,JPM,"JPMorgan shows ordinary finance at huge scale: deposits, loans, cards, payments, trading, and investment banking.","Takes deposits, makes loans, processes payments, manages assets, and advises clients.","Net interest income, fees, card income, asset management fees, trading, and banking fees.","deposits, net interest margin, credit losses, card spend, loans, capital ratios",Credit losses rise or deposit/funding costs erase lending profitability.,annual-report-jpmorgan-ordinary-finance-extraction-pass-1.md,source-visible-with-boundary
ARCTM-072,Ordinary finance,consumer card and spend network,American Express,AXP,"Amex shows household and small-business spending converted into fees, interest, rewards, and credit risk.","Runs a card network, lender, rewards platform, and merchant acceptance system.","Discount revenue, net interest income, card fees, travel/merchant services, and lending.","billed business, discount rate, loan growth, delinquencies, net write-offs, card fees",Affluent spend weakens or credit losses outrun fee and interest income.,annual-report-amex-ordinary-finance-extraction-pass-1.md,source-visible-with-boundary
ARCTM-073,Ordinary finance,consumer lending and card credit,Capital One,COF,"Capital One shows stress and opportunity in consumer credit, deposits, and cards.","Issues credit cards, makes auto loans, takes deposits, and runs digital banking.","Interest income, interchange, fees, deposit funding spread, and loan repayment.","net charge-offs, delinquency, loan growth, deposits, net interest margin",Borrowers cannot pay or funding costs rise faster than loan yields.,annual-report-capital-one-ordinary-finance-extraction-pass-1.md,source-visible-with-boundary
ARCTM-074,Ordinary finance,risk transfer through auto insurance,Progressive,PGR,"Progressive shows inflation, repair cost, driving behavior, and household budgets through insurance.","Sells auto, property, and commercial insurance.","Premiums, underwriting profit, investment income, and policy renewals.","combined ratio, policy count, premium per policy, loss severity, investment yield",Claims costs exceed pricing or customers shop away after rate increases.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-075,Ordinary finance,payments acceptance network,Visa,V,"Visa shows ordinary money movement through card acceptance, cross-border spend, and transaction routing.",Operates a global electronic payments network.,"Assessment fees, processing fees, cross-border fees, value-added services.","payment volume, transactions, cross-border volume, take rate, operating margin",Regulation cuts fees or alternative payment rails reduce network value.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
