deliverable_id,deliverable,status,authoritative_artifact,boundary_or_gap,verification
D-68,Energy affordability and supply-route Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-energy-q2-2026-cash-quality-refresh-2026-09-17.md,"Energy Transfer, Cheniere, PBF, and Devon latest filings add current capacity, cargo, in-transit, throughput, turnaround, production, capex, acreage, debt, and capital-return controls; route cash, cycle durability, project return, and normalized common-owner cash remain open.","Inspect the refresh and linked Energy Transfer, Cheniere, PBF, and Devon Q2 sources; run verify-energy-q2-2026-cash-quality-refresh.py; verify period alignment, volume-versus-cash, turnaround and depletion burden, project funding, debt/partner claims, and no-ranking status"
D-69,Integrated oil and gas Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-integrated-oil-gas-q2-2026-cash-quality-refresh-2026-09-17.md,"ConocoPhillips and Exxon Mobil latest filings add current production, operating cash, replacement/development capital, refining and chemical margins, working-capital timing, derivative and reserve items, geopolitical disruption, contingent consideration, debt, and capital-return controls; cycle-normalized reserve-backed common-owner cash remains open.","Inspect the refresh and linked ConocoPhillips and Exxon Mobil Q2 filings; run verify-integrated-oil-gas-q2-2026-cash-quality-refresh.py; verify period alignment, price-versus-volume, replacement capital, exceptional items, working-capital reversal, claims, debt, dilution, and no-ranking status"
D-70,Q2 2026 cross-sector cash-quality control panel,qualified,analysis/company-first-principles/combined-investment-research-q2-2026-cross-sector-cash-quality-control-panel-2026-09-17.md,"The latest six Q2 refreshes are connected through period-aware control points while preserving unlike denominators: deferred service revenue, exceptional proceeds, inventory-funded growth, credit-loss normalization, project cash, and reserve replacement remain separate; no pooled ranking is claimed.","Inspect the six linked Q2 refreshes; run verify-q2-2026-cross-sector-cash-quality-control-panel.py; verify period alignment, payer/burden mapping, QoE controls, named owner-cash denominator, Damodaran/Lyn Alden overlays, and non-ranking boundary"
D-71,Q2 2026 valuation and liquidity stress matrix,qualified,analysis/company-first-principles/combined-investment-research-q2-2026-valuation-liquidity-stress-matrix-2026-09-17.md,"The six latest Q2 lanes now have explicit valuation objects, reinvestment variables, liquidity stresses, and filing-based thesis breakers; price-implied expectations remain separate from proven cash and no pooled ranking is claimed.","Inspect the matrix and linked cash-quality refreshes; run verify-q2-2026-valuation-liquidity-stress-matrix.py; verify lane-specific numerator, reinvestment burden, senior claims, liquidity stress, thesis breaker, Damodaran/Lyn Alden boundaries, and no-ranking status"
D-72,Wheaton-Antamina Q-03 metal-credit receipt boundary,qualified,analysis/company-first-principles/capital-flow-wheaton-antamina-q03-metal-credit-receipt-boundary-2026-09-17.md,"The Q-03 public evidence now identifies the correct BHP metal-credit issuance, sale/receivable, and Wheaton bank-collection object; BHP's $4.3B upfront receipt and combined Q2 production/timing are observed, while BHP-only credits, invoice price, collection, tax, and financing allocation remain open.","Run verify-wheaton-antamina-q03-metal-credit-receipt-boundary.py; inspect the linked BHP and Wheaton filings and structured table; verify the no-physical-delivery mechanism, contract split, same-period allocation, receipt trail, and full-return-inputs-incomplete boundary"
D-73,Q-10 current six-lane macro overlay,qualified,analysis/company-first-principles/combined-investment-research-q10-current-six-lane-macro-overlay-2026-09-17.md,"The latest six current-period sector lanes now have explicit macro mechanisms, company observables, confounds, repeated-evidence requirements, valuation/liquidity implications, and thesis breakers; causal promotion remains open.","Run verify-q10-current-six-lane-macro-overlay.py; inspect the six-lane macro table and linked protocol; verify period alignment, predicted direction, confounds, repeated positive/negative cases, company-action controls, and no-ranking status"
D-74,Q2 2026 QoE and financial-shenanigans diagnostic panel,qualified,analysis/company-first-principles/combined-investment-research-q2-2026-qoe-financial-shenanigans-panel-2026-09-17.md,"The six latest sector lanes now have explicit field-level QoE and financial-shenanigans prompts covering timing, exceptional items, working capital, reserves, adjusted metrics, acquisitions, and replacement; a pooled fraud score and owner-cash promotion remain prohibited.","Run verify-q2-2026-qoe-financial-shenanigans-panel.py; inspect the six-lane diagnostic table and linked source panels; verify same-entity/same-period reconciliation, Sloan/Schilit prompt boundaries, Beneish composite prohibition, no-fraud language, and no-ranking status"
D-75,Annual-report undercovered-industry theme synthesis,qualified,analysis/company-first-principles/annual-report-undercovered-industry-theme-synthesis-pass-1.md,"The eight-family theme atlas now converts the undercovered 519-company breadth into article-ready first-principles themes across services, consumer goods, materials, real estate, technology, healthcare, energy, and ordinary finance; it preserves the boundary that sector themes do not prove named cash, legal-entity allocation, or owner returns.","Run verify-annual-report-undercovered-theme-synthesis.py; inspect all eight ARUITS rows and the final article map; verify representative company sets, payer/burden/operating logic, article-ready status, and explicit non-ranking/non-cash-proof boundary"
D-76,Q-03 Wheaton–Antamina receivable-classification boundary,qualified,analysis/company-first-principles/capital-flow-wheaton-antamina-q03-receivable-classification-boundary-2026-09-17.md,"Wheaton's Q2 accounts-receivable table and credit-sale policy narrow the public classification surface: total, concentrate, cobalt, and other receivables are visible, but no Antamina/BHP-specific receivable is identified; this is stronger negative classification evidence, not proof that no BHP amount existed.","Run verify-wheaton-antamina-q03-receivable-classification-boundary.py; inspect the Q2 receivable table and credit-sale policy; verify category arithmetic, same-period classification, searched-negative boundary, and no receipt/owner-cash promotion"
D-77,URI ABL collateral-eligibility and availability bridge,qualified,analysis/company-first-principles/capital-flow-uri-abl-collateral-eligibility-bridge-2026-09-17.md,"The URI ABL agreement makes borrower, eligible-equipment, reserve, certificate, and Combined Availability controls explicit; the Q2 filing reports $2.802B capacity net of letters of credit and $1.666B debt, but populated collateral, NOLV, reserves, and source-to-purchase allocation remain undisclosed.","Run verify-uri-abl-collateral-eligibility-bridge.py; inspect the agreement/Q2 bridge and structured fields; verify borrower perimeter, eligibility filters, availability formula, period alignment, and no lifecycle-return promotion"
D-78,PBF completed-redemption source/use and settlement bridge,qualified,analysis/company-first-principles/capital-flow-pbf-redemption-settlement-bridge-pass-1.md,"PBF's Q2 filing makes the refinancing source/use visible: $500.0M of new 2034 notes produced $492.1M net proceeds and all $801.6M of 2028 notes were redeemed on June 25, 2026 using new-note proceeds plus available cash; trustee settlement, accrued interest, cash-on-hand allocation, and refinancing NPV remain open.","Run verify-pbf-redemption-settlement-bridge.py; inspect the source/use table and official financing-mechanics companion; verify principal, net proceeds, redemption date, funding mix, derived bridge, and settlement-ledger hold"
D-79,Ares/Frontline dated primary-source refresh,qualified,analysis/company-first-principles/capital-flow-ares-frontline-primary-source-refresh-2026-09-17.md,"Ares disclosures date the Frontline senior-secured facility route to Bain's 2025 acquisition and 2026 growth financing, while an SEC holder schedule adds SOFR plus 5.00%, 8.64% effective yield, and March 4, 2032 maturity markers; facility size, Ares allocation, closing funds flow, borrower cash, and repayment remain open.","Run verify-ares-frontline-primary-source-refresh.py; inspect the two Ares releases, SEC holder schedule, and companion table; verify role-versus-funding distinction, instrument terms, period/date control, and no lender-return promotion"
D-80,PBF September 2026 exchangeable-financing and conditional-redemption liquidity boundary,qualified,analysis/company-first-principles/capital-flow-pbf-september-2026-conditional-redemption-liquidity-boundary-2026-09-17.md,"PBF's September 17 Form 8-K confirms issuance of $550M of 0% exchangeable notes due 2032 and approximately $533.6M of net proceeds; the $500M 2030-note redemption remains scheduled for September 24 at 103.938% plus accrued interest, with capped-call, dilution, cash-allocation, settlement, and post-transaction liquidity controls still open.","Run verify-pbf-september-2026-conditional-redemption.py; inspect both September 14 and September 17 8-Ks and the structured table; verify issued-versus-settled distinction, proceeds, premium, exchange/dilution terms, co-issuer route, and no-owner-cash promotion"
D-81,Insurance brokers versus carrier Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-insurance-brokers-carrier-q2-2026-cash-quality-refresh-2026-09-17.md,"Marsh, Arthur J. Gallagher, and Chubb now have same-period broker-versus-carrier cash and QoE observations: fiduciary cash, fee receivables, acquisition earnouts, premiums, unpaid losses, and adjusted operating cash remain in their proper models; owner cash and statutory return remain open.","Run verify-insurance-brokers-carrier-q2-2026-cash-quality-refresh.py; inspect the three Q2 filings and structured table; verify same-period model separation, fiduciary cash, acquisition/earnout, reserve/liability, adjusted-cash, and no-ranking boundaries"
D-82,Exchange and information infrastructure Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-exchange-information-infrastructure-q2-2026-cash-quality-refresh-2026-09-17.md,"CME and S&P Global now have same-period control-point and cash observations: clearing collateral, volume/rate mix, subscriptions, dispositions, acquisitions, amortization, SBC, and free-cash-flow definitions remain separated; organic owner cash and collateral-adjusted return remain open.","Run verify-exchange-information-infrastructure-q2-2026-cash-quality-refresh.py; inspect the CME/S&P filings and structured table; verify collateral-versus-corporate-cash, transaction-versus-recurring revenue, acquisition/disposition, non-GAAP, and no-ranking boundaries"
D-83,Materials specialty chemicals and steel Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-materials-chemicals-steel-q2-2026-cash-quality-refresh-2026-09-17.md,"Ecolab and Nucor add current embedded-service and flexible-steel control points: operating cash, working-capital investment, capex, acquisition/SBC items, project expansion, and capital returns remain separated; through-cycle owner cash and project return remain open.","Run verify-materials-chemicals-steel-q2-2026-cash-quality-refresh.py; inspect the Ecolab/Nucor filings and structured table; verify period alignment, working-capital timing, exceptional/acquisition items, project versus maintenance capital, and no-ranking boundary"
D-84,Digital real-estate Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-digital-real-estate-q2-2026-cash-quality-refresh-2026-09-17.md,"Equinix and Digital Realty now have one current-period capital-burden comparison: operating cash, development/recurring capex, acquisitions, AFFO/FFO, partner/equity funding, debt, commitments, and backlog remain separated; project return and common-owner cash remain open.","Run verify-digital-real-estate-q2-2026-cash-quality-refresh.py; inspect both Q2 refreshes and filings; verify same-period capital categories, non-GAAP boundaries, project/partner funding, dilution, and no-ranking status"
D-85,Healthcare distribution current-period synthesis,qualified,analysis/company-first-principles/combined-investment-research-healthcare-distribution-current-period-synthesis-2026-09-17.md,"McKesson, Cencora, and Cardinal now have period-labeled cash and QoE surfaces across Q1 FY2027, 9M FY2026, and FY2026; working-capital timing, acquisitions, legal/temporary items, preferred/NCI claims, and dilution remain separate, so normalized common-owner cash and cross-company ranking remain open.","Run verify-healthcare-distribution-current-period-synthesis.py; inspect the period-labeled comparison and linked company refreshes; verify fiscal-period separation, burden taxonomy, acquisition/legal controls, and no-ranking status"
D-86,Promotion-gate execution ledger,qualified,analysis/company-first-principles/combined-investment-research-promotion-gate-execution-ledger-2026-09-17.md,"The remaining Q-03, CA-06, URI, PBF, private-credit, sector, and company-lane gaps are converted into 13 named source objects with promotion tests and stop rules; no open route is promoted by proxy.","Run verify-combined-investment-promotion-gate-execution-ledger.py; inspect the markdown/CSV gate parity and confirm each next source object, promotion test, and stop rule remains explicit"
D-87,TJX Q2 FY2027 settlement and capex boundary,qualified,analysis/company-first-principles/combined-investment-research-retail-tjx-q2-2026-settlement-capex-boundary-2026-09-17.md,"TJX's current 10-Q identifies credit-card interchange-fee settlement and tariff-refund effects in H1 operating-cash growth, discloses $1.147B of H1 operating lease cash paid, and mixes renovations, new stores, distribution centers, offices, and IT in capex; the settlement amount, maintenance split, service costs, and owner-cash residual remain open.","Run verify-retail-tjx-q2-2026-settlement-capex-boundary.py; inspect the TJX 10-Q and boundary table; verify temporary-support, lease-cash, capex-mix, no-double-counting, and no-ranking controls"
D-88,URI Q2 2026 availability and lifecycle boundary,qualified,analysis/company-first-principles/combined-investment-research-uri-q2-2026-availability-lifecycle-boundary-2026-09-17.md,"URI's Q2 2026 filing provides $2.999B stated liquidity, a $1.779B receivables collateral pool, covenant-threshold compliance, $3.305B OCF, $2.885B purchases, $706M sale proceeds, and $1.149B company-defined FCF; equipment borrowing-base/NOLV, cohort allocation, and lifecycle return remain open.","Run verify-uri-q2-2026-availability-lifecycle-boundary.py; inspect the Q2 10-Q and bridge; verify liquidity-versus-availability, receivables-versus-equipment collateral, capital-burden, and no-owner-cash-promotion boundaries"
D-89,Target Q2 2026 cash-quality boundary,qualified,analysis/company-first-principles/combined-investment-research-retail-target-q2-2026-cash-quality-boundary-2026-09-17.md,"Target's current 10-Q provides $4.519B H1 OCF, $2.404B property spending, $994M tariff refunds, $3.2B eligible supplier-finance obligations explicitly not equal to actual early payments, and a $593M prior-period interchange-settlement gain; maintenance, payment-date, lease, service, and common-owner allocation remain open.","Run verify-retail-target-q2-2026-cash-quality-boundary.py; inspect the Target 10-Q and boundary table; verify temporary support, payable leverage, supplier-finance perimeter, capex, lease, service, and no-ranking controls"
D-90,Walmart Q2 FY2027 capex and tariff-refund boundary,qualified,analysis/company-first-principles/combined-investment-research-retail-walmart-q2-fy27-capex-refund-boundary-2026-09-17.md,"Walmart's current 10-Q provides $2.9B tariff refunds, $19.710B H1 OCF, $14.181B capex with $7.659B supply-chain/customer-facing/technology, $3.623B remodels, $1.087B new-store categories, and $5.529B management-defined FCF that excludes debt service and acquisitions; maintenance, lease, service, and common-owner allocation remain open.","Run verify-retail-walmart-q2-fy27-capex-refund-boundary.py; inspect the Walmart 10-Q and bridge; verify exceptional support, capex categories, FCF definition, lease/service, and no-ranking controls"
D-91,AP Grange settlement next-source package,qualified,analysis/company-first-principles/capital-flow-apollo-athene-ap-grange-next-source-package-2026-09-18.md,"The AP Grange route now has five ranked transaction-level source requests covering issuer call notice, Athene lot/custody remittance, post-call statutory chronology, Apollo wrapper allocation, and liability/tax/common-owner waterfall; instrument identity is confirmed but settlement, legal-entity cash, and return remain unproven.","Inspect the memo and structured package; verify Q-08 routing, priority order, minimum fields, promotion join, and settlement-unproven boundary"
D-92,Wheaton–Antamina Q-03 next-source package,qualified,analysis/company-first-principles/capital-flow-wheaton-antamina-q03-next-source-package-2026-09-18.md,"Q-03 now has five ranked transaction-level source requests covering the executed Drawdown Notice, agent/seller funds flow, BHP metal-credit ledger, facility/tax allocation, and reserve-backed return model; the $1.500B draw is observed but asset-level cash and return remain unproven.","Inspect the memo and structured package; verify Q-03 routing, priority order, minimum fields, promotion join, and return-unproven boundary"
D-93,Apollo–Athene Q-07 next-source package,qualified,analysis/company-first-principles/capital-flow-apollo-athene-q07-next-source-package-2026-09-18.md,"Q-07 now has five ranked source requests covering the Athene payment confirmation, AGM receipt ledger, consolidation elimination, AHL-to-AGM note ledger, and parent common-owner waterfall; the $0M–$110M attribution remains sensitivity-only.","Inspect the memo and structured package; verify Q-07 routing, priority order, minimum fields, promotion join, and receipt-unproven boundary"
D-94,Insurance statutory named-asset Q-12 next-source package,qualified,analysis/company-first-principles/capital-flow-insurance-q12-next-source-package-2026-09-18.md,"Q-12 now has five ranked source requests covering Accordia top-40 named assets, Apollo/Athene custody/remittance, servicing waterfalls, insurance funding cost, and source-linked return; statutory interest and consideration remain cash-back proxies.","Inspect the memo and structured package; verify Q-12 routing, priority order, minimum fields, promotion join, and return-unproven boundary"
D-95,Wheaton–Antamina Q-03 quantity-proxy boundary,qualified,analysis/company-first-principles/capital-flow-wheaton-antamina-q03-quantity-proxy-boundary-2026-09-18.md,"The Q-03 quantity layer separates contractual BHP entitlement, BHP's FY2026 5.588M-ounce mine denominator, the mechanical 5.0292M payable equivalent, reserve-quantity context, and Wheaton's combined BHP/Glencore Q2 production and sales; BHP-only credits, settlement cash, financing/tax allocation, and return remain open.","Inspect the note and structured companion; verify entitlement arithmetic, BHP-versus-combined perimeter, source dates, and no-receipt/no-return promotion boundary"
D-96,Retail interim inline-XBRL cash-fact search boundary,qualified,analysis/company-first-principles/combined-investment-research-pilot-02-retail-interim-lease-tax-search-boundary-2026-09-16.md,"Target and Walmart Q2 inline-XBRL/HTML searches do not locate matched-period PaymentsOfIncomeTaxes or OperatingLeasePayments facts; provisions, accrued-tax movements, lease additions, and operating cash remain visible controls. The negative result does not prove zero cash payments and CA-06 remains partial.","Inspect the boundary memo and four-row tag-search ledger; verify official SEC routes, fiscal periods, tag/phrase search scope, searched-negative classification, and no cash-denominator promotion"
D-97,Accordia matched-disposal owned-interest proof packet,qualified,analysis/company-first-principles/capital-flow-kkr-global-atlantic-accordia-matched-disposal-owned-interest-proof-packet-pass-1.md,"The Accordia legal-entity packet joins three named owned-bond CUSIPs—Intel, Commonwealth Edison, and Orange—to statutory interest received and coordinate-extracted disposal consideration, book value, realized gain/loss, and event dates; broker settlement, lot continuity, liability-cost spread, remittance, and platform return remain unproven.","Inspect the memo and structured packet; verify same-CUSIP joins, legal entity, periods, coordinate columns, aggregate arithmetic, and no-settlement/no-return promotion boundary"
D-98,Accordia Q2 2026 statutory cash-flow refresh,qualified,analysis/company-first-principles/capital-flow-kkr-global-atlantic-accordia-q2-2026-statutory-cash-flow-refresh-2026-09-18.md,"Accordia's Q2 2026 statutory statement adds current legal-entity cash and burden controls: $291.515M summary net investment income, $288.780M cash-flow investment income, $75.718M net operating cash, $764.721M investment proceeds, $(163.923M) net investment cash, $111.230M financing/miscellaneous cash, $259.286M ending cash, $11.412B liabilities, and $4.241B funds held under coinsurance; none is allocated to a named CUSIP or KKR owner cash.","Inspect the official Q2 statutory statement and structured refresh; verify page references, arithmetic, legal-entity perimeter, liability/funds-held boundary, and no named-asset/owner-cash promotion"
