comparison_case,lane,company_name,role_in_case,best_current_ordering,primary_distinction,main_reuse_value,last_updated,status
"United Rentals versus Fastenal versus Ferguson","physical-execution-workflow boundary","United Rentals","access-over-ownership and outsourced-execution infrastructure","1 of 3","fleet scale specialty access service and outsourced equipment availability matter more than procurement embedment or branch-density contractor support","reuse when the key question is who lets customers execute physical work without owning the full equipment burden",2026-08-10,in-progress
"WESCO versus Applied Industrial Technologies versus Core & Main","physical-execution-workflow boundary","Applied Industrial Technologies","engineering-heavy uptime automation and technical-MRO workflow infrastructure","2 of 3","technical service fluid power automation and engineered aftermarket depth matter more than broad project-channel breadth or municipal waterworks specialization","reuse when the key question is engineering-heavy uptime support rather than broad infrastructure distribution or civic-flow replacement channels",2026-08-10,in-progress
"WESCO versus Applied Industrial Technologies versus Core & Main","physical-execution-workflow boundary","Core & Main","waterworks fire-protection and civic-failure-response channel infrastructure","3 of 3","municipal replacement specialty inventory and civic-flow project support matter more than broad electrical-channel coordination or industrial uptime engineering","reuse when the key question is waterworks and public-infrastructure replacement-channel density rather than electrical project distribution or technical MRO depth",2026-08-10,in-progress
"WESCO versus Applied Industrial Technologies versus Core & Main","physical-execution-workflow boundary","WESCO International","electrical communications utility and project-channel infrastructure","1 of 3","stocked inventory procurement integration and large-project channel coordination matter more than engineering-heavy uptime service or civic-failure-response specialization","reuse when the key question is broad infrastructure-channel control rather than technical MRO depth or waterworks replacement density",2026-08-10,in-progress
"Warby Parker versus Nike versus Ulta","owned-demand and channel-control boundary","Nike","large-scale hybrid brand-control system","2 of 3","global brand authority stays central even while direct and wholesale remain visibly interdependent","reuse when the key question is hybrid brand control rather than one owned service relationship or a category interface",2026-08-10,in-progress
"Warby Parker versus Nike versus Ulta","owned-demand and channel-control boundary","Ulta","assortment-led and discovery-led interface-control system","3 of 3","loyalty services and multi-brand discovery make the interface stronger than one owned product promise","reuse when the key question is category-interface control rather than service-linked owned demand or hybrid brand control",2026-08-10,in-progress
"Warby Parker versus Nike versus Ulta","owned-demand and channel-control boundary","Warby Parker","service-linked and fit-driven owned-demand system","1 of 3","one owned fit-and-care relationship creates demand depth rather than hybrid brand scale or multi-brand interface return","reuse when the key question is direct service-linked owned demand rather than hybrid brand control or assortment-led interface economics",2026-08-10,in-progress
"Waste Management versus Clean Harbors","behind-the-shelf infrastructure boundary","Clean Harbors","specialized hazardous and industrial environmental-service infrastructure","2 of 2","hazardous disposal emergency response remediation and re-refining depth matter more than broad municipal and commercial route density","reuse when the key question is specialized environmental-service intensity rather than broad route-network scale",2026-08-10,in-progress
"Waste Management versus Clean Harbors","behind-the-shelf infrastructure boundary","Waste Management","broad route-density and compliance-network infrastructure","1 of 2","recurring density disposal assets recycling and compliance breadth matter more than hazardous specialization","reuse when the key question is generalized cleanup-network breadth rather than specialized hazardous or remediation intensity",2026-08-10,in-progress
"Waste Management versus Republic Services versus Clean Harbors versus Casella","behind-the-shelf infrastructure boundary","Casella Waste Systems","regional-density waste and resource-solutions infrastructure","4 of 4","concentrated local-market density landfill control recycling and resource-solutions layering matter more than national scale or hazardous specialization","reuse when the key question is regional-density concentration rather than national broad-network leadership scale-peer density or hazardous specialization",2026-08-10,in-progress
"Waste Management versus Republic Services versus Clean Harbors versus Casella","behind-the-shelf infrastructure boundary","Clean Harbors","specialized hazardous and industrial environmental-service infrastructure","3 of 4","hazardous disposal emergency response remediation and re-refining depth matter more than broad network breadth or regional local-market density","reuse when the key question is specialized environmental-service intensity rather than broad national route density or regional concentration",2026-08-10,in-progress
"Waste Management versus Republic Services versus Clean Harbors versus Casella","behind-the-shelf infrastructure boundary","Republic Services","national scale-peer route-density infrastructure","2 of 4","dense national local-service scale pricing discipline acquisition roll-in and sustainability-asset throughput make it the cleanest broad-network peer","reuse when the key question is whether a second national route-density peer belongs beside the leader rather than inside hazardous or regional subtypes",2026-08-10,in-progress
"Waste Management versus Republic Services versus Clean Harbors versus Casella","behind-the-shelf infrastructure boundary","Waste Management","national route-density and compliance-network leadership","1 of 4","broad route density disposal recycling RNG and compliance breadth make it the clearest generalized network leader","reuse when the key question is which company anchors the broadest national post-use infrastructure network",2026-08-10,in-progress
"YETI versus Ulta versus Amazon","owned-demand versus marketplace-extended boundary","Amazon","full ecosystem-interface control system","3 of 3","interface utility seller participation and ad economics dominate any one-brand demand story","reuse when the question is no longer product-owned demand but broad account-level interface control",2026-08-10,in-progress
"YETI versus Ulta versus Amazon","owned-demand versus marketplace-extended boundary","Ulta","category-interface and assortment-control system","2 of 3","the customer returns to a company-owned discovery environment more than to one owned brand promise","reuse when discovery services loyalty and assortment make a retailer stronger than a plain brand or plain store case",2026-08-10,in-progress
"YETI versus Ulta versus Amazon","owned-demand versus marketplace-extended boundary","YETI","owned-demand system widened by marketplace-assisted reach","1 of 3","owned brand and product authority remain the center of gravity even with marketplace assistance","reuse when marketplace reach helps a strong owned-demand system without replacing it",2026-08-10,in-progress
